name,c1_weighted,c2_weighted,c3_weighted
Hotel Diana Banda Aceh,0.23571428571428574,0.0,0.0
Grand Emperom Hotel Mitra RedDoorz,0.2892857142857143,0.1748188126445644,0.21863636363636366
Hip Hope Hotel,0.23571428571428574,0.18286815728604475,0.23054054054054052
Wisma Diamond,0.18214285714285716,0.0,0.21000000000000002
RedDoorz Syariah near Pasar Aceh Shopping Centre,0.2892857142857143,0.1552968388589052,0.15830188679245286
Arizona Guesthouse,0.23571428571428574,0.0,0.16666666666666669
RedDoorz Syariah near Ujong Kareung Beach Sabang,0.40714285714285714,0.16464148033924444,0.1996
Hotel Qory Syari'ah,0.26785714285714285,0.0,0.25
Plum Hotel Lading Banda Aceh,0.21428571428571427,0.18786430223592906,0.20020689655172416
Guest House Gani Syariah,0.32142857142857145,0.0,0.05
RedDoorz Syariah @ Jalan Gajah Mada Meulaboh,0.2142857142857143,0.16727833461835004,0.20437500000000003
The Pade Dive Resort,0.30000000000000004,0.1281881264456438,0.17935483870967744
New York Room-a Boutique Hotel in Banda Aceh,0.16071428571428575,0.0,0.0
Gayo Room-a Boutique Hotel in Banda Aceh,0.18214285714285716,0.0,0.0
Ulumasen Room-a Boutique Hotel in Banda Aceh,0.16071428571428575,0.0,0.0
RedDoorz Syariah near Pelabuhan Ulee Lheue Banda Aceh,0.2142857142857143,0.17703932151117965,0.22395833333333334
Banda Aceh Batoh Homestay - private - fits up to 8 persons,0.30000000000000004,0.0,0.215
Rihlah Resort Iboih Sabang,0.30000000000000004,0.13207401696222051,0.23043478260869565
Pahang Room-a Boutique Hotel in Banda Aceh,0.16071428571428575,0.0,0.0
BEU CEBEUH COTTAGE ,0.24642857142857147,0.15113338473400154,0.19452380952380952
RedDoorz @ Wisma Nabila Syariah near Masjid Raya Baiturrahman Banda Aceh,0.2142857142857143,0.18185042405551274,0.14111111111111113
Dream Hill Villa Burtelege Takengon,0.30000000000000004,0.0,0.0
Portola Grand Renggali Hotel Takengon,0.26785714285714285,0.19443330763299926,0.20756281407035176
Capital O 92096 Kuala Ulee Lheue Residence Syariah,0.2142857142857143,0.20012336160370084,0.20132947976878612
Portola Grand Arabia Hotel,0.375,0.207201233616037,0.21646875
Alhambra Hotel Banda Aceh,0.375,0.20053970701619125,0.22044303797468356
Ranls Dream Syari'ah Banda Aceh,0.26785714285714285,0.1312413261372398,0.11471698113207547
RedDoorz Syariah @ Harley Hotel Sabang,0.2142857142857143,0.18786430223592906,0.20203389830508475
Portola Arabia Hotel,0.42857142857142855,0.0,0.20696969696969697
RedDoorz Syariah @ Panglima Nyak Makam Aceh 2,0.2142857142857143,0.15747108712413263,0.12054054054054056
Collection O Peunayong Near Masjid Raya Baiturrahman Formerly Siwah Hotel,0.24642857142857147,0.19299922898997687,0.20313636363636361
Griya Arida Aceh,0.30000000000000004,0.0,0.20916666666666667
EVA SKY HOTEL,0.10714285714285715,0.0,0.0
sunrise seasports,0.40714285714285714,0.275343099460293,0.23333333333333334
Hotel Rasamala,0.26785714285714285,0.2107170393215112,0.2282142857142857
Hadrah Hotel,0.2892857142857143,0.1771781033153431,0.17943396226415093
Fhandika Boutique Inc.,0.3964285714285714,0.18522744795682347,0.2164473684210526
My Home Aceh ,0.26785714285714285,0.0,0.0
Hotel 889 Syariah Redpartner Banda Aceh,0.26785714285714285,0.14243639167309177,0.1165
Hotel Grand Nanggroe,0.375,0.0,0.06999999999999999
Permatahati Hotel and Convention Center,0.30000000000000004,0.0,0.1724074074074074
Garuda Hotel ,0.23571428571428574,0.18888203546646107,0.20738938053097344
Hotel 61 Banda Aceh,0.375,0.20141865844255977,0.23665158371040723
RedDoorz Syariah near Balai Meuseuraya Aceh,0.26785714285714285,0.14627602158828065,0.13999999999999999
Wisma Syariah Lambhuk Banda Aceh RedPartner,0.26785714285714285,0.0,0.10375000000000001
Luxury villa with sea garden & sea view,0.32142857142857145,0.0,0.0
SEUNIA HOTEL,0.26785714285714285,0.0,0.10833333333333332
Diara Bungalow,0.10714285714285715,0.19281418658442562,0.19148936170212766
Kumala Hotel Banda Aceh,0.0,0.0,0.0
Kenangan Guest House,0.26785714285714285,0.145674633770239,0.21749999999999997
Amira Bungalow Iboih,0.03214285714285714,0.0,0.0
Homestay Syariah Casa Sakinah,0.0,0.0,0.0
Hijrah Hotel,0.2892857142857143,0.0,0.0
My Home Aceh,0.3214285714285715,0.2022976098689283,0.20549019607843136
Private Room in Banda Aceh,0.32142857142857145,0.1839784117193524,0.22818181818181818
Quanza Hotel,0.053571428571428575,0.0,0.0
RedDoorz Syariah Near Taman Kopi Gayo,0.053571428571428575,0.0,0.0
Mabit Hotel Syariah,0.2142857142857143,0.17477255204317657,0.23000000000000004
Hotel Wisata Banda Aceh,0.23571428571428574,0.17454124903623747,0.21882352941176472
Hotel Wisata Banda Aceh,0.26785714285714285,0.0,0.175
Acc Family Homestay Takengon,0.053571428571428575,0.0,0.0
Villa Kelamun Ine R-F,0.0,0.0,0.0
Apollo Bungalows,0.30000000000000004,0.21668465690053973,0.2322641509433962
Penginapan Syariah Maqila,0.0,0.0,0.0
HILANI BOUTIQUE HOTEL,0.375,0.22325366229760987,0.23013333333333336
Sribudaya Resort Aceh,0.26785714285714285,0.15575944487278337,0.21125
al sattar  homestay syariah,0.053571428571428575,0.0,0.25
Ratu Balqis Homestay ,0.26785714285714285,0.1743562066306862,0.225
SULTAN HOTEL BANDA ACEH,0.375,0.10329992289899768,0.18925925925925927
De Papel Homestay,0.26785714285714285,0.0,0.21666666666666665
RedDoorz Syariah @ Florensa Banda Aceh 2,0.26785714285714285,0.0,0.0
Hotel O Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.2142857142857143,0.17407864302235931,0.19081632653061226
Medina House Syariah Aceh,0.2892857142857143,0.13457208943716267,0.14
Cahaya kos putri,0.2892857142857143,0.18235929067077875,0.24666666666666667
Belazee homestay,0.0,0.0,0.25
ZHOUSE HOTEL,0.26785714285714285,0.25498843484965306,0.21599999999999997
Hotel Meurah Mulia,0.32142857142857145,0.0,0.15515625
Hotel O Banda Aceh near Masjid Raya Baiturrahman formerly Wisma Tsacita,0.2142857142857143,0.17879722436391673,0.18009708737864077
Dancenter Kuta Alam Near Masjid Oman Al-Makmur Formerly Daka Hotel,0.2142857142857143,0.17861218195836545,0.20433333333333334
Collection O Banda Aceh near Masjid Raya Baiturrahman formerly Hotel Mulana,0.2142857142857143,0.19350809560524287,0.20821576763485478
Pavilliun Seulawah,0.10714285714285715,0.0,0.0
SeGuestHouse,0.26785714285714285,0.0,0.1
Grand Mahoni Hotel,0.16071428571428575,0.2132151117964534,0.23026315789473686
Sei Hotel ,0.2142857142857143,0.0,0.0
pulau weh sabang Coco jungle,0.30000000000000004,0.23731688511950655,0.23833333333333334
Mars Resort ,0.32142857142857145,0.1292521202775636,0.128
Luxe5 Inn Hj Hasnah Hasan,0.45,0.18666152659984583,0.22933333333333333
Luxe5 Inn Hj Hasnah Hasan,0.26785714285714285,0.0,0.0
Hermes Palace Hotel Banda Aceh ,0.30000000000000004,0.20525828835774865,0.19610146252285193
Dang-Dang Na Bungalows,0.24642857142857147,0.0,0.165
Hotel Qory Syariah,0.45,0.0,0.0
Losmen PUM Syariah at Desa Wisata Sabang,0.10714285714285715,0.0,0.0
sekost&guesthouse,0.16071428571428575,0.0,0.0
Furqan guest house fan room,0.1928571428571429,0.0,0.25
Hotel O Banda Aceh near UIN formerly Alif Guest House Syariah,0.2142857142857143,0.16084811102544336,0.17588235294117646
grand koetaradja permai hotel,0.2142857142857143,0.0,0.23199999999999998
Abaka Hotel Banda Aceh,0.16071428571428575,0.0,0.0
Pondok Simpang Tiga,0.2892857142857143,0.1876792598303778,0.22962962962962963
Collection O near Museum Tsunami Banda Aceh formerly Blower Residence,0.2142857142857143,0.15113338473400154,0.19
RedDoorz Syariah @ Hotel Seunia Banda Aceh,0.26785714285714285,0.17754818812644566,0.14846153846153848
AAL Homestay Syariah,0.1928571428571429,0.19461835003855052,0.244
Capital O 854 Ub Caisar Hotel,0.26785714285714285,0.12013878180416344,0.15
Z.I. Homestay Banda Aceh,0.16071428571428575,0.0,0.0
Z.I. Homestay Banda Aceh,0.16071428571428575,0.0,0.0
The Hawk's Nest Resort,0.1928571428571429,0.18749421742482653,0.23383333333333334
Kuara Guest House Takengon,0.07500000000000001,0.0,0.0
Hotel Alfatih Banda Aceh,0.26785714285714285,0.0,0.0
Banda Capsule,0.42857142857142855,0.19003855050115653,0.23000000000000004
Awak Awai,0.24642857142857147,0.0,0.25
Mitra Perdana Homestay ,0.18214285714285716,0.0,0.0
OYO 94799 Siwah Hotel,0.26785714285714285,0.19244410177332308,0.21971428571428575
OYO 94787 Hotel Mulana,0.1285714285714286,0.15034695451040864,0.21758620689655173
Dentalinn,0.2892857142857143,0.0,0.12333333333333334
Penginapan JANNAH Syariah,0.0,0.0,0.0
Penginapan JANNAH Syariah,0.0,0.0,0.22999999999999998
Gayo Belangi Resort,0.2142857142857143,0.0,0.0
AMODA Hotel & Cafe By Sativa,0.23571428571428574,0.0,0.0
Freddies Villas Sabang,0.30000000000000004,0.12120277563608328,0.20375000000000001
Hotel Mekkah Banda Aceh,0.26785714285714285,0.20266769468003087,0.1856299212598425
Dancenter Wisma Tsacita,0.2142857142857143,0.0,0.23000000000000004
Dancenter Alif Guest House,0.2142857142857143,0.1912875867386276,0.17666666666666667
Utama Hotel,0.26785714285714285,0.0,0.21999999999999997
Dancenter Meurah Mulia,0.23571428571428574,0.27034695451040863,0.2272727272727273
Medina House Aceh,0.16071428571428575,0.0,0.24
Hotel Grand Permata Hati,0.16071428571428573,0.0,0.0
Utama Lueng Bata Hotel,0.18214285714285716,0.10894371626831151,0.11000000000000001
Utama Kuta Alam Guest House,0.18214285714285716,0.1277255204317656,0.19916666666666666
Pineung Residence Syariah,0.053571428571428575,0.0,0.0
Kanaya Homestay Syari’ah Banda Aceh,0.0,0.0,0.0
Freddies Villas Sabang,0.0,0.0,0.0
Mata Ie Resort Sabang,0.24642857142857147,0.1743562066306862,0.24666666666666667
Hotel O near Terminal Batoh formerly Hotel Al Fatih,0.2142857142857143,0.13397070161912106,0.197
Gayo Petro Hotel Takengon,0.3428571428571429,0.15340015420200462,0.1875
Dancenter Hotel Al Fatih,0.2142857142857143,0.13901310717039322,0.16357142857142856
HOUSING 58,0.18214285714285716,0.0,0.0
TEUPIN LAYEU HOTEL,0.24642857142857147,0.186615265998458,0.24666666666666667
Hotel O near Masjid Raya Baiturrahman,0.26785714285714285,0.0,0.19764705882352943
Townhouse Oak near Tugu Simpang Lima formerly GM Inn Hotel,0.24642857142857147,0.22649190439475714,0.2272727272727273
Senangin Residence,0.26785714285714285,0.0,0.0
Al Hanifi Hotel,0.0,0.0,0.0
Ilona Boutique Hotel,0.0,0.0,0.0
Hijrah Inn Banda Aceh,0.10714285714285715,0.0,0.0
Hotel Grand Langkawi By ZIRI,0.24642857142857147,0.15622205088666155,0.21400000000000002
Dancenter Hotel Gm Inn,0.23571428571428574,0.0,0.2
Penginapan paradis,0.18214285714285716,0.0,0.25
DETARA HOMESTAY SYARIAH,0.2892857142857143,0.0,0.0
Celestial Guest House Banda Aceh,0.16071428571428575,0.0,0.0
Housing 58 homestay,0.2892857142857143,0.0,0.0
Townhouse Oak near RSUD Dr. Zainoel Abidin formerly Poma Hotel,0.26785714285714285,0.0,0.0
RedDoorz Syariah @ Panglima Nyak Makam Aceh,0.26785714285714285,0.18545875096376255,0.20458100558659215
Fairuz Hotel Managed by Calandra,0.0,0.0,0.0
RedDoorz Syariah near Simpang Surabaya Aceh,0.375,0.14215882806476485,0.11457627118644068
Casapedian 001  (Guesthouse B. Aceh 2BR),0.18214285714285716,0.0,0.0
Rumah ALMIRA Homestay,0.18214285714285716,0.0,0.0
Hotel O near Rahmat International Wildlife Museum & Gallery formerly Tsacita 2,0.26785714285714285,0.0,0.0
WISMA JEUMPA TAKENGON,0.45,0.0,0.0
Capital O 854 Ub Caisar Hotel,0.375,0.16501156515034696,0.1397
RedDoorz Syariah @ Sumur Tiga Beach Sabang Aceh,0.26785714285714285,0.189159599074788,0.18174528301886791
Hotel Grand Permata Hati,0.26785714285714285,0.0,0.19669811320754718
Intense Maia Hotel,0.2142857142857143,0.0,0.0
